Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
إبرة الراعي مبكر (Geranium - Early),2.42,Spring,17-35,ground,Partial shade,Well-drained,Support stems/trellis,Trim regularly for shape,2420,Medium (60%),Good source of minerals and fiber
لافندر فاتح (Lavender - Light),1.61,Autumn,14-28,ground,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,1610,Fast (80%),Improves mood and well-being
أنيمون أبيض ناصع (Anemone - Pure White),1.34,Winter,Dec-36,ground,Full sun,Sandy,Regular watering,Keep soil evenly moist,1340,Slow (40%),Some species purify indoor air
داليا مبكر (Dahlia - Early),0.54,Spring,16-34,medium,Full sun,Sandy,Fertilize monthly,Keep soil evenly moist,540,Medium-Fast (70%),Attracts pollinators and supports biodiversity
ورد أبيض ناصع (Rose - Pure White),1.6,Autumn,20-28,ground,Partial shade,Well-drained,Support stems/trellis,Keep soil evenly moist,1600,Medium-Fast (70%),Used in perfumes and decoration
ياسمين داكن (Jasmine - Deep),1.82,Spring,Dec-23,ground,Full sun,Loamy,Mulch to retain moisture,"Water at base, not foliage",1820,Medium-Fast (70%),Adds natural beauty to gardens
إقحوان قزمي (Chrysanthemum - Dwarf),1.55,Winter,Oct-36,ground,Full sun,Well-drained,Fertilize monthly,Keep soil evenly moist,1550,Slow (40%),Used in perfumes and decoration
إقحوان أصفر (Chrysanthemum - Yellow),0.89,Summer,14-35,large,Full sun,Loamy,Mulch to retain moisture,Avoid overwatering,890,Medium-Fast (70%),Attracts pollinators and supports biodiversity
بتونيا مخملي (Petunia - Velvet),0.91,Autumn,17-35,ground,Partial shade,Sandy loam,Support stems/trellis,"Water at base, not foliage",910,Fast (80%),High in vitamin C and antioxidants
أوركيد مخطط (Orchid - Striped),2.29,Winter,20-26,ground,Indirect light,Sandy loam,Deadhead spent blooms,Keep soil evenly moist,2290,Medium-Fast (70%),Improves mood and well-being
ورد مخطط (Rose - Striped),1.9,Autumn,Dec-30,ground,Full sun,Well-drained,Mulch to retain moisture,Trim regularly for shape,1900,Slow (40%),Improves mood and well-being
ورد متموج (Rose - Ruffled),1.38,Autumn,14-31,ground,Full sun,Sandy,Support stems/trellis,Avoid overwatering,1380,Medium (60%),Used in perfumes and decoration
أقحوان إفريقي وردي (Gazania - Pink),2.39,Winter,19-22,large,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,2390,Fast (80%),Natural source of fiber for better digestion
قرنفل داكن (Carnation - Deep),2.81,Summer,13-23,large,Partial shade,Sandy,Support stems/trellis,Protect from frost,2810,Slow (40%),Improves mood and well-being
دوّار الشمس منقط (Sunflower - Speckled),1.49,Winter,14-28,large,Partial shade,Clay,Mulch to retain moisture,Avoid overwatering,1490,Medium (60%),Some species purify indoor air
كركديه مبكر (Hibiscus - Early),2.09,Winter,Nov-25,medium,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,2090,Fast (80%),Adds natural beauty to gardens
بتونيا متموج (Petunia - Ruffled),0.72,Spring,13-31,ground,Partial shade,Well-drained,Support stems/trellis,"Water at base, not foliage",720,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
داليا قزمي (Dahlia - Dwarf),1.79,Winter,13-25,medium,Partial shade,Sandy loam,Support stems/trellis,Avoid overwatering,1790,Medium-Fast (70%),Some species purify indoor air
كاميليا أصفر (Camellia - Yellow),1.37,Spring,20-27,ground,Partial shade,Well-drained,Support stems/trellis,Keep soil evenly moist,1370,Fast (80%),Promote satiety and support weight control
زنبق عملاق (Lily - Giant),2.25,Autumn,14-32,medium,Indirect light,Well-drained,Support stems/trellis,Keep soil evenly moist,2250,Slow (40%),Some species purify indoor air
ورد مبكر (Rose - Early),1.83,Autumn,16-32,medium,Indirect light,Well-drained,Support stems/trellis,Trim regularly for shape,1830,Medium (60%),Adds natural beauty to gardens
كاميليا قزمي (Camellia - Dwarf),2.26,Winter,16-34,ground,Full sun,Clay,Regular watering,Avoid overwatering,2260,Fast (80%),Used in cooking as natural seasoning
أقحوان إفريقي مخملي (Gazania - Velvet),2.48,Winter,18-29,ground,Full sun,Sandy loam,Regular watering,Protect from frost,2480,Medium (60%),Good source of minerals and fiber
تيوليب داكن (Tulip - Deep),2.27,Summer,Nov-28,medium,Full sun,Sandy loam,Support stems/trellis,Protect from frost,2270,Fast (80%),Improves mood and well-being
بوانسيانا مبكر (Poinciana - Early),2.09,Winter,19-27,medium,Full sun,Clay,Deadhead spent blooms,"Water at base, not foliage",2090,Slow (40%),Boosts immunity and improves skin health
قرنفل مبكر (Carnation - Early),2.14,Summer,Nov-28,ground,Partial shade,Well-drained,Regular watering,Avoid overwatering,2140,Fast (80%),Used in perfumes and decoration
كاميليا عملاق (Camellia - Giant),0.77,Autumn,Nov-26,medium,Indirect light,Sandy loam,Regular watering,Protect from frost,770,Fast (80%),Used in perfumes and decoration
كاميليا منقط (Camellia - Speckled),0.88,Winter,16-25,ground,Indirect light,Sandy,Mulch to retain moisture,Trim regularly for shape,880,Medium (60%),Improves digestion and reduces bloating
أوركيد عملاق (Orchid - Giant),1.47,Summer,Dec-24,medium,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,1470,Medium (60%),Attracts pollinators and supports biodiversity
إقحوان داكن (Chrysanthemum - Deep),1.89,Winter,14-29,large,Full sun,Well-drained,Deadhead spent blooms,"Water at base, not foliage",1890,Slow (40%),Some species purify indoor air
زنبق متسلق (Lily - Climbing),1.22,Summer,15-27,ground,Indirect light,Clay,Support stems/trellis,Protect from frost,1220,Slow (40%),Used in perfumes and decoration
إقحوان مزدوج (Chrysanthemum - Double),2.62,Spring,15-25,large,Full sun,Sandy loam,Mulch to retain moisture,Protect from frost,2620,Medium (60%),Attracts pollinators and supports biodiversity
داليا وردي (Dahlia - Pink),1.28,Winter,Oct-27,ground,Full sun,Clay,Deadhead spent blooms,Avoid overwatering,1280,Medium (60%),Attracts pollinators and supports biodiversity
زنبق مبكر (Lily - Early),0.44,Summer,19-23,ground,Indirect light,Loamy,Support stems/trellis,Keep soil evenly moist,440,Fast (80%),Some species purify indoor air
إقحوان عطري (Chrysanthemum - Fragrant),0.73,Summer,Dec-25,ground,Partial shade,Loamy,Mulch to retain moisture,Avoid overwatering,730,Medium-Fast (70%),Attracts pollinators and supports biodiversity
غاردينيا قزمي (Gardenia - Dwarf),1.85,Spring,Dec-32,large,Indirect light,Sandy loam,Regular watering,Protect from frost,1850,Fast (80%),Improves mood and well-being
كاميليا داكن (Camellia - Deep),0.95,Spring,13-22,large,Full sun,Well-drained,Fertilize monthly,Protect from frost,950,Medium-Fast (70%),Used in traditional herbal medicine
أستر منقط (Aster - Speckled),2.91,Summer,19-35,ground,Indirect light,Loamy,Support stems/trellis,Protect from frost,2910,Medium-Fast (70%),Prevent soil erosion and retain moisture
نرجس أرجواني (Narcissus - Purple),2.4,Winter,Nov-30,large,Full sun,Well-drained,Regular watering,Keep soil evenly moist,2400,Fast (80%),High in plant-based protein
غاردينيا وردي (Gardenia - Pink),2.36,Summer,15-25,large,Full sun,Clay,Deadhead spent blooms,Keep soil evenly moist,2360,Fast (80%),Aromatic and refreshing scent
ورد داكن (Rose - Deep),2.86,Spring,15-27,large,Full sun,Sandy loam,Mulch to retain moisture,Avoid overwatering,2860,Medium (60%),Used in perfumes and decoration
زنبق متموج (Lily - Ruffled),2.01,Summer,15-23,medium,Indirect light,Well-drained,Fertilize monthly,Protect from frost,2009,Medium-Fast (70%),Used in perfumes and decoration
أقحوان إفريقي فاتح (Gazania - Light),0.44,Autumn,20-27,large,Indirect light,Loamy,Support stems/trellis,Trim regularly for shape,440,Medium-Fast (70%),Low in calories and ideal for diets
أستر عملاق (Aster - Giant),1.85,Spring,18-24,ground,Indirect light,Sandy,Regular watering,Protect from frost,1850,Medium-Fast (70%),Rich in vitamins and minerals
بتونيا منقط (Petunia - Speckled),1.17,Winter,13-36,medium,Partial shade,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1170,Fast (80%),Improves mood and well-being
غاردينيا عملاق (Gardenia - Giant),2.25,Winter,Nov-35,medium,Partial shade,Well-drained,Mulch to retain moisture,Avoid overwatering,2250,Slow (40%),Rich in vitamins and minerals
كركديه أبيض ناصع (Hibiscus - Pure White),1.29,Autumn,14-29,large,Indirect light,Clay,Fertilize monthly,Keep soil evenly moist,1290,Medium (60%),Adds natural beauty to gardens
أنيمون عطري (Anemone - Fragrant),1.18,Spring,19-26,large,Full sun,Loamy,Fertilize monthly,"Water at base, not foliage",1180,Slow (40%),Contains beneficial natural sugars
بوانسيانا وردي (Poinciana - Pink),1.7,Spring,16-32,medium,Indirect light,Clay,Support stems/trellis,"Water at base, not foliage",1700,Medium-Fast (70%),Improves mood and well-being
كاميليا مخطط (Camellia - Striped),2.88,Autumn,14-23,ground,Indirect light,Sandy loam,Fertilize monthly,"Water at base, not foliage",2880,Fast (80%),Contains antioxidants that reduce inflammation
كركديه متموج (Hibiscus - Ruffled),2.86,Spring,Dec-35,ground,Indirect light,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2860,Medium (60%),Used in perfumes and decoration
ياسمين مخطط (Jasmine - Striped),2.64,Spring,15-31,medium,Full sun,Clay,Fertilize monthly,Trim regularly for shape,2640,Medium-Fast (70%),Improves mood and well-being
أوركيد داكن (Orchid - Deep),0.34,Autumn,20-34,large,Full sun,Loamy,Fertilize monthly,Keep soil evenly moist,340,Medium-Fast (70%),Attracts pollinators and supports biodiversity
كركديه مزدوج (Hibiscus - Double),2.51,Winter,Oct-31,large,Partial shade,Sandy loam,Deadhead spent blooms,Avoid overwatering,2510,Fast (80%),Adds natural beauty to gardens
ورد فاتح (Rose - Light),2.54,Spring,18-33,large,Partial shade,Sandy loam,Regular watering,Trim regularly for shape,2540,Fast (80%),Some species purify indoor air
تيوليب أصفر (Tulip - Yellow),0.48,Summer,15-34,ground,Indirect light,Well-drained,Support stems/trellis,Trim regularly for shape,480,Medium-Fast (70%),Some species purify indoor air
بوانسيانا أصفر (Poinciana - Yellow),1.58,Spring,16-22,medium,Full sun,Sandy,Regular watering,"Water at base, not foliage",1580,Slow (40%),Contains beneficial natural sugars
أنيمون عملاق (Anemone - Giant),0.63,Summer,17-22,medium,Partial shade,Loamy,Regular watering,"Water at base, not foliage",630,Slow (40%),Adds natural beauty to gardens
داليا أصفر (Dahlia - Yellow),1.07,Summer,17-27,medium,Indirect light,Well-drained,Fertilize monthly,Protect from frost,1070,Fast (80%),Adds natural beauty to gardens
أنيمون أزرق (Anemone - Blue),2.5,Summer,Nov-33,medium,Full sun,Loamy,Support stems/trellis,Avoid overwatering,2500,Slow (40%),Enhance biodiversity and store carbon
لافندر قزمي (Lavender - Dwarf),0.57,Summer,19-36,large,Full sun,Sandy loam,Mulch to retain moisture,Avoid overwatering,570,Fast (80%),Improves mood and well-being
أستر داكن (Aster - Deep),0.48,Autumn,16-26,ground,Partial shade,Sandy loam,Fertilize monthly,Avoid overwatering,480,Fast (80%),Promote satiety and support weight control
أستر متسلق (Aster - Climbing),0.93,Spring,14-26,ground,Partial shade,Clay,Support stems/trellis,Avoid overwatering,930,Fast (80%),Low in calories and ideal for diets
ياسمين أرجواني (Jasmine - Purple),1.39,Winter,Nov-26,ground,Full sun,Clay,Regular watering,Trim regularly for shape,1390,Medium (60%),Some species purify indoor air
أوركيد مخملي (Orchid - Velvet),1.36,Autumn,Oct-36,large,Full sun,Well-drained,Regular watering,Avoid overwatering,1360,Slow (40%),Improves mood and well-being
كركديه قزمي (Hibiscus - Dwarf),2.25,Winter,19-22,medium,Partial shade,Loamy,Fertilize monthly,Avoid overwatering,2250,Fast (80%),Used in perfumes and decoration
داليا أزرق (Dahlia - Blue),0.9,Summer,15-35,medium,Indirect light,Loamy,Fertilize monthly,Trim regularly for shape,900,Medium-Fast (70%),Some species purify indoor air
داليا أبيض ناصع (Dahlia - Pure White),1.6,Spring,15-23,ground,Indirect light,Sandy loam,Mulch to retain moisture,Avoid overwatering,1600,Fast (80%),Adds natural beauty to gardens
ورد أزرق (Rose - Blue),2.06,Winter,14-32,ground,Full sun,Clay,Mulch to retain moisture,Avoid overwatering,2060,Fast (80%),Attracts pollinators and supports biodiversity
قرنفل أزرق (Carnation - Blue),2.68,Spring,20-34,medium,Full sun,Loamy,Regular watering,Trim regularly for shape,2680,Medium (60%),Improves mood and well-being
دوّار الشمس متسلق (Sunflower - Climbing),2.19,Winter,15-27,medium,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,2190,Fast (80%),Adds natural beauty to gardens
لافندر أبيض ناصع (Lavender - Pure White),0.6,Autumn,16-32,large,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,600,Medium-Fast (70%),Attracts pollinators and supports biodiversity
ورد متسلق (Rose - Climbing),2.21,Summer,16-24,medium,Partial shade,Sandy loam,Mulch to retain moisture,Trim regularly for shape,2210,Fast (80%),Some species purify indoor air
أقحوان إفريقي داكن (Gazania - Deep),2.08,Summer,20-34,large,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",2080,Medium-Fast (70%),Some species purify indoor air
إقحوان أزرق (Chrysanthemum - Blue),0.56,Autumn,13-23,large,Indirect light,Clay,Regular watering,Avoid overwatering,560,Slow (40%),Attracts pollinators and supports biodiversity
بوانسيانا عملاق (Poinciana - Giant),1.69,Winter,19-27,ground,Indirect light,Well-drained,Mulch to retain moisture,"Water at base, not foliage",1690,Slow (40%),Good source of minerals and fiber
إبرة الراعي مخطط (Geranium - Striped),2.9,Spring,17-23,ground,Indirect light,Clay,Support stems/trellis,Avoid overwatering,2900,Fast (80%),Purify air and absorb pollutants
لافندر داكن (Lavender - Deep),1.99,Spring,15-22,large,Indirect light,Sandy loam,Deadhead spent blooms,Protect from frost,1990,Slow (40%),Improves mood and well-being
أنيمون مخطط (Anemone - Striped),0.41,Winter,19-33,large,Partial shade,Sandy loam,Mulch to retain moisture,Avoid overwatering,410,Medium-Fast (70%),Boosts immunity and improves skin health
ياسمين أزرق (Jasmine - Blue),1.08,Summer,16-32,ground,Full sun,Sandy loam,Mulch to retain moisture,Protect from frost,1080,Slow (40%),Adds natural beauty to gardens
تيوليب مزدوج (Tulip - Double),2.65,Autumn,Oct-31,large,Partial shade,Sandy loam,Deadhead spent blooms,Trim regularly for shape,2650,Slow (40%),Some species purify indoor air
كاميليا مخملي (Camellia - Velvet),1.66,Summer,16-30,ground,Full sun,Well-drained,Regular watering,Protect from frost,1660,Fast (80%),Promote satiety and support weight control
ياسمين فاتح (Jasmine - Light),0.59,Summer,19-36,medium,Partial shade,Sandy loam,Regular watering,"Water at base, not foliage",590,Fast (80%),Adds natural beauty to gardens
قرنفل قزمي (Carnation - Dwarf),2.15,Autumn,17-30,medium,Full sun,Sandy,Mulch to retain moisture,Keep soil evenly moist,2150,Fast (80%),Adds natural beauty to gardens
أقحوان إفريقي قزمي (Gazania - Dwarf),2.36,Summer,Oct-36,medium,Partial shade,Well-drained,Mulch to retain moisture,Keep soil evenly moist,2360,Fast (80%),Helps prevent chronic diseases
بوانسيانا داكن (Poinciana - Deep),2.95,Winter,15-29,large,Partial shade,Loamy,Fertilize monthly,Keep soil evenly moist,2950,Medium-Fast (70%),Promote satiety and support weight control
